state,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,deaths,cases,Death/Case Ratio,Population,Region,Division,State Code
Alabama,0.08156716417910448,0.08108955223880597,0.14661194029850746,0.21534328358208957,0.4753134328358209,13758382,895850975,0.015357891417152278,5031362,South,East South Central,AL
Alaska,0.05513793103448276,0.06317241379310345,0.08986206896551724,0.3331034482758621,0.4585862068965517,747325,156619480,0.004771596738796477,732923,West,Pacific,AK
Arizona,0.049666666666666665,0.053200000000000004,0.09466666666666666,0.14733333333333334,0.6549999999999999,21257570,1364935095,0.015574051892921692,7179943,West,Mountain,AZ
Arkansas,0.09092,0.08725333333333332,0.13836,0.22062666666666667,0.4628666666666667,7905784,564075918,0.01401546094722661,3014195,South,West South Central,AR
California,0.032310344827586206,0.030724137931034484,0.06368965517241379,0.15860344827586206,0.7146379310344827,67503932,6315141921,0.010689218523423269,39501653,West,Pacific,CA
Colorado,0.039156250000000004,0.0719375,0.097265625,0.244328125,0.5474375,8976123,927507759,0.00967767968828388,5784865,West,Mountain,CO
Connecticut,0.0175,0.023,0.053625,0.126375,0.7795000000000001,9082510,521290817,0.017423115281925253,3597362,Northeast,New England,CT
Delaware,0.01933333333333333,0.006666666666666667,0.06066666666666667,0.09566666666666666,0.8176666666666668,2113929,176542579,0.01197404621578571,992114,South,South Atlantic,DE
District of Columbia,0.012,0.013,0.069,0.164,0.743,1160633,92781319,0.012509339299218197,670868,South,South Atlantic,DC
Florida,0.05525373134328358,0.057522388059701494,0.11034328358208954,0.19429850746268656,0.5825522388059702,52694427,4065043272,0.012962820682121389,21589602,South,South Atlantic,FL
Georgia,0.08333333333333333,0.07837735849056604,0.1261446540880503,0.19979245283018868,0.512314465408805,25872159,1694478089,0.015268511978970771,10729828,South,South Atlantic,GA
Hawaii,0.0162,0.0188,0.0334,0.1166,0.8150000000000001,945585,155169144,0.006093898410627309,1451043,West,Pacific,HI
Idaho,0.10377272727272727,0.14479545454545456,0.14477272727272728,0.2198409090909091,0.3868409090909091,3264273,299664100,0.01089310664841067,1849202,West,Mountain,ID
Illinois,0.07227450980392157,0.07131372549019607,0.12687254901960784,0.2194901960784314,0.510078431372549,28833752,2184024652,0.013202118379751696,12786580,Midwest,East North Central,IL
Indiana,0.08609782608695653,0.09643478260869565,0.13042391304347828,0.23692391304347826,0.45021739130434785,16853649,1153802424,0.01460704939548645,6788799,Midwest,East North Central,IN
Iowa,0.10432323232323232,0.11732323232323233,0.16742424242424242,0.2147070707070707,0.39620202020202017,6953414,533816276,0.01302585610934051,3190571,Midwest,West North Central,IA
Kansas,0.11688571428571429,0.11694285714285714,0.1511142857142857,0.21946666666666667,0.39559047619047616,6182474,517178450,0.011954237459043391,2937919,Midwest,West North Central,KS
Kentucky,0.08633333333333333,0.08312499999999999,0.13109166666666666,0.20799166666666666,0.4914,10223505,873479809,0.011704340380465509,4507445,South,East South Central,KY
Louisiana,0.082328125,0.07245312500000001,0.11440625,0.20715625,0.52365625,13259185,849484676,0.015608504043220669,4651664,South,West South Central,LA
Maine,0.0475,0.0589375,0.1000625,0.20124999999999998,0.592375,1464390,148235786,0.009878788648241795,1363557,Northeast,New England,ME
Maryland,0.02291666666666667,0.020916666666666667,0.05154166666666667,0.16183333333333333,0.74275,11055992,722342631,0.015305744843958961,6173205,South,South Atlantic,MD
Massachusetts,0.0195,0.011785714285714287,0.04014285714285715,0.13114285714285714,0.7972857142857144,18434286,1165164476,0.015821187806278433,6995729,Northeast,New England,MA
Michigan,0.04479518072289156,0.061265060240963856,0.10028915662650602,0.21887951807228917,0.5748072289156627,26110438,1601347249,0.01630529419293991,10069577,Midwest,East North Central,MI
Minnesota,0.10319540229885057,0.12233333333333334,0.15570114942528734,0.2431264367816092,0.3755287356321839,9306987,966074812,0.009633816019623126,5709852,Midwest,West North Central,MN
Mississippi,0.06781707317073171,0.08448780487804879,0.11953658536585365,0.20123170731707318,0.5268780487804878,9103032,545333974,0.01669258185626997,2958141,South,East South Central,MS
Missouri,0.1340608695652174,0.12716521739130435,0.1516521739130435,0.21053913043478262,0.37655652173913046,13875907,986827551,0.014061126471326093,6153998,Midwest,West North Central,MO
Montana,0.15085714285714286,0.17158928571428572,0.14489285714285716,0.21514285714285714,0.3175357142857143,2246802,182999837,0.012277617493178423,1087075,West,Mountain,MT
Nebraska,0.12380645161290321,0.11770967741935483,0.145752688172043,0.26131182795698926,0.35145161290322585,3034055,328002597,0.00925009444361198,1962642,Midwest,West North Central,NE
Nevada,0.029294117647058825,0.041823529411764704,0.10676470588235294,0.19358823529411764,0.6286470588235293,7437941,502276914,0.014808446879961518,3115648,West,Mountain,NV
New Hampshire,0.0551,0.0576,0.0735,0.1876,0.6263,1777416,190247767,0.00934263790859632,1378587,Northeast,New England,NH
New Jersey,0.022904761904761903,0.02123809523809524,0.04942857142857143,0.1579047619047619,0.7484285714285714,28482863,1577338492,0.01805754639505748,9271689,Northeast,Middle Atlantic,NJ
New Mexico,0.04218181818181818,0.04963636363636363,0.0786060606060606,0.15969696969696967,0.6699999999999999,5393922,351256116,0.015356094183994223,2118390,West,Mountain,NM
New York,0.022838709677419352,0.022451612903225806,0.04938709677419355,0.1352741935483871,0.7699354838709677,59061061,3481460364,0.016964450209090473,20108296,Northeast,Middle Atlantic,NY
North Carolina,0.05378,0.04656,0.09803,0.19832,0.60331,17314387,1775818771,0.00975008671084714,10449445,South,South Atlantic,NC
North Dakota,0.1809811320754717,0.1640188679245283,0.1459245283018868,0.25181132075471696,0.25724528301886795,1729703,165191218,0.010470913774605137,779518,Midwest,West North Central,ND
Ohio,0.09145454545454546,0.10170454545454545,0.15027272727272728,0.21768181818181817,0.43885227272727273,25744838,1813202197,0.01419854776405833,11797517,Midwest,East North Central,OH
Oklahoma,0.10036363636363636,0.1207922077922078,0.16663636363636364,0.22606493506493505,0.3861038961038961,9457851,708629274,0.013346684009557302,3964912,South,West South Central,OK
Oregon,0.03666666666666667,0.049,0.08561111111111111,0.18819444444444444,0.6404166666666666,4865473,463805540,0.010490329632543845,4244795,West,Pacific,OR
Pennsylvania,0.03583582089552238,0.03538805970149254,0.08625373134328358,0.17065671641791044,0.6719701492537313,32653246,1884002397,0.01733184949870316,12994440,Northeast,Middle Atlantic,PA
Rhode Island,0.012199999999999999,0.009600000000000001,0.04,0.13599999999999998,0.8019999999999999,2855775,244243050,0.011692349076053547,1096345,Northeast,New England,RI
South Carolina,0.0971304347826087,0.07054347826086957,0.10928260869565218,0.1902608695652174,0.5328260869565218,12543645,988262712,0.012692621959412752,5131848,South,South Atlantic,SC
South Dakota,0.14831818181818182,0.10506060606060606,0.16668181818181818,0.21909090909090911,0.36093939393939395,2159513,167555386,0.012888353227869381,887799,Midwest,West North Central,SD
Tennessee,0.1100421052631579,0.1013578947368421,0.1519578947368421,0.2095263157894737,0.4271894736842105,17188151,1351257576,0.012720114436568383,6925619,South,East South Central,TN
Texas,0.05188976377952756,0.05967716535433071,0.09719291338582678,0.18866535433070866,0.6025590551181103,62871518,4640982014,0.01354702901462268,29232474,South,West South Central,TX
Utah,0.09306896551724138,0.0969655172413793,0.11827586206896552,0.27186206896551723,0.4197586206896552,3194695,626051174,0.005102929493108818,3283785,West,Mountain,UT
Vermont,0.04535714285714286,0.08778571428571429,0.06928571428571428,0.13764285714285715,0.66,434397,70151935,0.006192231190771859,642893,Northeast,New England,VT
Virginia,0.04187218045112782,0.04642857142857143,0.09602255639097745,0.17784210526315788,0.637827067669173,14102858,1160403288,0.012153410926908715,8636471,South,South Atlantic,VA
Washington,0.0378974358974359,0.038871794871794874,0.07066666666666667,0.1824102564102564,0.6698717948717948,8960697,953581074,0.009396890567901519,7724031,West,Pacific,WA
West Virginia,0.08607272727272727,0.07707272727272726,0.13605454545454546,0.21843636363636362,0.48241818181818186,4434127,321117902,0.013808407978450232,1791420,South,South Atlantic,WV
Wisconsin,0.08683333333333333,0.10204166666666667,0.1453611111111111,0.23231944444444444,0.4335,10004696,1093914775,0.00914577280483299,5896271,Midwest,East North Central,WI
Wyoming,0.1516086956521739,0.157,0.12300000000000001,0.232,0.3364347826086957,1164870,104068492,0.01119330142691027,577605,West,Mountain,WY
